X,reviews,savwish,logreviews,logsavwish,price,rating,accommodates,extpeop,min_stay,sentiment,secdep,cleanfee,weekfee,monthfee,bedroom,bathroom,beds,RTSS,cluster
1,10,1277,1.0413927,3.106531,185,4.5,3,1,5,3.2089432,1,1,1,1,1,1,1,0.905155,2
2,8,279,0.9542425,2.447158,100,5,2,0,3,2.245883,0,0,0,0,1,1,1,0.8848333,2
3,31,434,1.50515,2.638489,512,5,10,1,3,2.5091372,1,0,1,1,4,3,5,0.52018,1
4,65,784,1.8195439,2.89487,92,4.5,2,0,2,2.8643222,0,0,1,1,1,1,1,0.9629,2
5,9,621,1,2.79379,71,4.5,4,1,1,1.892305,1,1,0,0,2,1,1,0.8909357,2
6,67,556,1.8325089,2.745855,85,4.5,2,1,1,1.9728947,0,0,1,1,1,1,1,0.886785,2
7,152,1325,2.1846914,3.122544,83,5,2,0,1,2.8527533,0,0,1,0,1,2,1,0.87824,2
8,6,448,0.845098,2.652246,98,5,4,1,3,1.8349354,1,0,1,1,0,1,3,0.97005,2
9,1,162,0.30103,2.212188,121,5,4,1,1,1.9748016,0,0,0,0,1,1,2,0.8122091,2
10,11,334,1.0791812,2.525045,78,4.5,2,0,1,1.7211728,0,0,1,1,1,1,1,0.87913,2
11,86,3429,1.9395193,3.535294,100,4.5,2,0,2,3.2904379,1,1,0,1,1,0,1,0.8822682,2
12,58,1869,1.770852,3.271842,249,4.5,5,0,2,1.6884164,1,1,1,1,2,1,3,0.88896,2
13,2,45,0.4771213,1.662758,128,5,4,0,3,2.3302498,0,0,1,1,0,1,2,0.9072533,2
14,6,286,0.845098,2.457882,98,4.5,3,0,1,2.4186642,1,1,1,1,1,1,2,0.7724125,1
15,82,1839,1.9190781,3.264818,183,5,4,1,2,4.1429573,1,1,1,1,1,1,1,0.9416417,2
16,81,1371,1.9138139,3.137354,235,5,4,0,1,2.808917,1,0,0,0,2,1,2,0.96131,2
17,5,381,0.7781512,2.582063,57,4.5,3,0,1,1.3861958,0,0,0,1,1,1,2,0.80192,2
18,133,1841,2.1271048,3.26529,83,4.5,2,0,1,1.3777671,0,0,0,0,1,1,1,0.72633,1
19,16,198,1.2304489,2.298853,128,4.5,2,0,1,1.6452498,1,1,1,0,1,1,1,0.8142214,2
20,55,667,1.748188,2.824776,102,4.5,2,0,2,1.3486986,1,0,1,1,1,0,1,0.7248615,1
